state_alpha,state_name,year,region,week_ending,tmax,tmin,tavg,prcp_sum,prcp_mean,rh
IN,INDIANA,2007,Temperate Humid,2007-07-01,28.08509462687166,17.88058130119507,22.992299695046114,24.182555529703997,3.454650789957714,72.62967898595356
IN,INDIANA,2007,Temperate Humid,2007-07-08,29.12783151409538,15.784476108113953,22.456153811104667,12.647192731081626,1.8067418187259465,60.63488451906044
IN,INDIANA,2007,Temperate Humid,2007-07-15,29.47273496197866,16.53319492768609,23.002964944832375,8.35476349274083,1.1935376418201185,59.593553358957536
IN,INDIANA,2007,Temperate Humid,2007-07-22,27.727974949280643,14.938502957438601,21.333238953359622,36.379304972017714,5.197043567431102,66.09906954194547
IN,INDIANA,2007,Temperate Humid,2007-07-29,27.940812922645648,16.131467790202013,22.036179476453288,28.33348959071966,4.0476413701028084,69.69332384074089
IN,INDIANA,2007,Temperate Humid,2007-08-05,31.629170718068547,17.885139202847203,24.75588349250978,10.511441584665741,1.5016345120951058,64.08439434913046
IN,INDIANA,2007,Temperate Humid,2007-08-12,33.29825945358166,21.095605465903734,27.197685428874518,20.963063465944632,2.9947233522778047,69.68603981926321
IN,INDIANA,2007,Temperate Humid,2007-08-19,30.264836648989053,16.524497396269638,23.394667022629346,16.805061629436498,2.4007230899194996,66.20224875475266
IN,INDIANA,2007,Temperate Humid,2007-08-26,31.07348783559114,19.79631557558088,25.42901134891186,91.51807412404983,13.074010589149976,73.69061670652715
IN,INDIANA,2007,Temperate Humid,2007-09-02,29.714033005086225,15.16481918972457,22.43970734126984,2.4750269722045464,0.3535752817435066,62.43140133217679
IN,INDIANA,2007,Temperate Humid,2007-09-09,30.890302947753263,17.631256302381413,24.263441834283473,29.94212829829435,4.2774468997563355,67.425011526179
IN,INDIANA,2007,Temperate Humid,2007-09-16,24.38564613175848,9.911922650248217,17.149593629531022,4.572793540583345,0.6532562200833351,60.393860288619
IN,INDIANA,2007,Temperate Humid,2007-09-23,29.258094817803556,13.047510274483432,21.15114092998188,0.0256220436892705,0.003660291955610071,56.452101412527895
IN,INDIANA,2007,Temperate Humid,2007-09-30,27.351104692112354,13.502793150327516,20.43427227036157,25.369632875232128,3.624233267890304,64.00978374422013
IN,INDIANA,2007,Temperate Humid,2007-10-07,28.52328634412324,14.987036328109742,21.754790893388588,9.197198756518048,1.3138855366454354,66.8967365496123
IN,INDIANA,2007,Temperate Humid,2007-10-14,21.419362558001467,8.819192753604806,15.126304202741704,6.274520729694119,0.8963601042420171,63.16256036540217
IN,INDIANA,2007,Temperate Humid,2007-10-21,23.44797439611413,11.293651845891512,17.370813121002822,41.19492866540754,5.884989809343934,64.5374171030084
IN,INDIANA,2007,Temperate Humid,2007-10-28,16.37007552247703,6.950431027402823,11.660253274939928,37.93002590616638,5.41857512945234,73.6937825935796
IN,INDIANA,2007,Temperate Humid,2007-11-04,15.782432868722884,0.3126626909745466,8.047547779848717,0.09490665131139481,0.013558093044484973,58.79708036907495
IN,INDIANA,2007,Temperate Humid,2007-11-11,11.38589135926607,-0.16741489919482763,5.606210135680996,6.988457233945061,0.998351033420723,61.37935858059506
IN,INDIANA,2007,Temperate Humid,2007-11-18,12.545517025929398,2.3311361033010516,7.438326564615225,18.08916158371341,2.584165940530487,69.88787473107297
IN,INDIANA,2007,Temperate Humid,2007-11-25,9.786718760673368,1.1989719392688571,5.496291537713403,28.576867167019408,4.082409595288487,79.53722712593249
IN,INDIANA,2007,Temperate Humid,2007-12-02,7.169888972378347,-3.8779509422013105,1.644526013645517,22.465708825091223,3.209386975013032,68.7359158739702
IN,INDIANA,2007,Temperate Humid,2007-12-09,2.3638205082898955,-5.7883527696793,-1.710798833819242,30.637209459514917,4.376744208502131,79.45500764329263
IN,INDIANA,2007,Temperate Humid,2007-12-16,4.002039491121123,-1.0826055783420907,1.458373222016079,63.86918772796864,9.12416967542409,84.25463480962902
IN,INDIANA,2007,Temperate Humid,2007-12-23,4.896687592560766,-3.798671841191513,0.5490078756846261,15.901463632999448,2.271637661857064,81.2852195708844
IN,INDIANA,2007,Temperate Humid,2007-12-30,4.1416847532678025,-3.378367462115641,0.3807877670332055,11.371641923533168,1.6245202747904526,77.39060656098903
IN,INDIANA,2008,Temperate Humid,2008-01-06,1.303141295324856,-8.44092317256141,-3.5749817589755963,10.152172288207957,1.6920287147013262,78.61619286512948
IN,INDIANA,2008,Temperate Humid,2008-01-13,10.830006032368155,2.476226803711406,6.650560810270357,67.23585442953242,9.605122061361774,82.4728394629196
