STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2021-05-31,15.162771739130434,9.072826086956525,21.252717391304348,0.4772121212121212,72.19063684036932,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2021-06-01,17.63978494623656,10.333870967741936,24.949197860962567,0.0291228070175438,68.83215127092701,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-02,19.91048387096774,14.06236559139785,25.75860215053764,1.15638665132336,80.55026933204763,8.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0
NC,2021-06-03,21.43978494623656,17.45537634408602,25.43689839572193,15.44367088607595,90.13815108781138,11.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-04,22.79543010752688,18.56236559139785,27.02849462365592,29.969646569646567,83.55959786702768,21.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-05,23.31895604395605,17.571428571428573,29.08360655737705,5.132696629213483,75.96273046651207,11.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-06,24.17265193370166,18.527624309392262,29.834065934065936,0.6930011862396205,81.38342300925812,10.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-07,24.752185792349724,20.101092896174865,29.40327868852459,3.3508948545861297,86.07153935638577,17.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-08,24.7771978021978,20.48516483516484,29.0775956284153,7.630182599355532,85.31605188676612,15.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
NC,2021-06-09,24.86857923497268,20.32841530054645,29.415217391304346,3.064472190692395,82.26077287751046,17.0,1.0,14.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-10,24.74320652173913,20.318478260869565,29.167934782608693,9.645112781954888,87.07808654332547,16.0,1.0,18.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-11,24.780706521739127,20.49891304347826,29.07081081081081,17.504399141630902,85.1383250703383,18.0,1.0,18.0,0.0,0.0,0.0,4.0,0.0
NC,2021-06-12,24.05956284153005,20.012021857923497,28.09619565217391,11.489662676822633,87.86091281979574,17.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-13,23.04510869565217,18.613043478260867,27.484864864864864,6.389244851258581,80.52093306380522,17.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-14,24.10407608695652,18.396195652173912,29.811956521739127,1.2958285052143683,77.56416647753096,14.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
NC,2021-06-15,24.16657608695652,18.08913043478261,30.24402173913043,1.620344827586207,71.06436303392233,9.0,1.0,15.0,0.0,0.0,0.0,0.0,2.0
NC,2021-06-16,21.992702702702704,15.375675675675677,28.60972972972973,3.5066202090592333,63.30794444689276,4.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
NC,2021-06-17,20.99381720430108,13.875268817204304,28.112365591397847,0.0567535545023696,58.78943792677203,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
