STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2019-04-17,15.376315789473685,0.0010652463382157,58.10570375263505,6.424210526315789,24.328421052631576,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-04-18,18.849206349206348,0.1034666666666666,66.18600159252502,11.328571428571427,26.369841269841267,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-04-19,19.36143617021277,7.191590013140605,83.13274248274553,14.302659574468086,24.420212765957448,17.0,0.0,20.0,0.0,0.0,0.0,6.0,4.0
NC,2019-04-20,14.412299465240642,35.02139423076923,75.85934613656524,9.14468085106383,19.71010638297872,13.0,1.0,26.0,0.0,2.0,0.0,1.0,5.0
NC,2019-04-21,11.085263157894737,1.662483660130719,71.15753611640214,6.1831578947368415,15.987368421052633,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-04-22,13.348941798941798,0.157010582010582,64.427805343153,6.265079365079365,20.451052631578943,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-04-23,16.964550264550265,0.004485488126649,63.34318949633992,8.135789473684211,25.77671957671958,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-04-24,20.28743315508021,0.0125827814569536,58.47180270619442,12.134759358288768,28.45744680851064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-04-25,20.8717277486911,0.1631506849315068,64.95691295453506,13.52198952879581,28.22146596858639,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-04-26,19.227513227513228,1.30554821664465,71.30391807162103,13.18157894736842,25.28157894736842,11.0,0.0,9.0,0.0,1.0,0.0,3.0,2.0
NC,2019-04-27,15.717819148936169,3.8842652795838752,50.04749206922855,8.063297872340426,23.37234042553192,1.0,0.0,5.0,0.0,1.0,0.0,0.0,6.0
NC,2019-04-28,18.26595744680851,0.1761707988980716,57.62478966013751,10.948936170212766,25.54179894179894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2019-04-29,18.570478723404257,0.071832884097035,70.8609286083999,11.855026455026454,25.279255319148938,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2019-04-30,18.93936170212766,0.002139037433155,75.3125304437869,12.308510638297872,25.578835978835976,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-05-01,21.538235294117648,0.0014608233731739,73.54954595114084,14.431550802139036,28.643085106382976,12.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2019-05-02,21.91037234042553,0.0230359520639147,72.45824007799841,15.716489361702129,28.104255319148937,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2019-05-03,21.23548387096774,0.8890501319261214,78.27650461462089,14.633870967741936,27.83957219251337,17.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0
NC,2019-05-04,22.08870967741936,2.829715061058345,81.56276064122115,16.374193548387098,27.80322580645161,21.0,4.0,15.0,0.0,1.0,0.0,1.0,0.0
NC,2019-05-05,21.924338624338624,12.737704918032788,85.72286829090075,17.00846560846561,26.84021164021164,20.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0
NC,2019-05-06,19.483597883597884,5.982315521628499,74.46322160291429,13.862962962962962,25.124210526315792,7.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
NC,2019-05-07,19.161436170212767,0.1018716577540107,72.83599466225832,12.756914893617022,25.583157894736843,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-05-08,20.26105263157895,0.6211764705882353,74.34054817882061,13.895263157894735,26.62708333333333,20.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2019-05-09,20.906382978723403,0.4118120805369127,72.20992915845493,15.048936170212764,26.768947368421056,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
