STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT15,WT18
CO,2019-05-24,4.892857142857143,1.9354948805460752,58.38293204186773,-1.7604336043360431,11.49972602739726,24.0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-05-25,8.595095367847412,0.134218009478673,47.11980512940606,-0.1547425474254742,17.320435967302455,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CO,2019-05-26,10.967945205479452,0.2854990583804143,53.20493723405847,2.59375,19.30054644808743,19.0,6.0,23.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0
CO,2019-05-27,9.037709497206704,2.302227934875749,64.33656676128557,1.4726519337016577,16.54972067039106,15.0,3.0,27.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
CO,2019-05-28,6.199449035812672,5.103507340946166,66.77232250198125,0.0424657534246575,12.32947658402204,18.0,0.0,21.0,2.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-05-29,5.931129476584022,3.4668257756563245,70.45307534767845,0.1814713896457765,11.601373626373626,15.0,2.0,6.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-05-30,7.39435261707989,0.9661120840630472,62.19318867050095,-0.020708446866485,14.745054945054944,7.0,1.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-05-31,10.166666666666666,0.3144414168937329,54.679353972444886,1.862330623306233,18.42568306010929,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-01,12.573333333333332,0.3930170098478066,52.77093044788023,3.95702479338843,21.14972222222222,1.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-02,13.431906077348067,1.6873166522864538,56.626827082424526,5.243596730245232,21.543922651933705,4.0,0.0,48.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CO,2019-06-03,13.315151515151516,1.6402835696413678,58.10017381391614,5.040326975476839,21.4956043956044,4.0,0.0,52.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-04,13.15775623268698,1.921194762684124,54.84951958956373,4.598076923076923,21.68453038674033,1.0,0.0,34.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-05,13.060694444444444,1.258534554537885,56.85941707525347,4.867857142857143,21.166666666666668,2.0,0.0,44.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
CO,2019-06-06,13.847527472527473,2.881144238517325,57.137065838852266,5.178804347826087,22.427747252747253,1.0,1.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CO,2019-06-07,15.148337950138504,0.3948426573426573,50.93497008051518,7.010958904109589,23.23324099722992,3.0,0.0,27.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-08,14.721745152354572,1.1013769363166954,48.70388255945986,6.303825136612021,23.043767313019387,2.0,1.0,25.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CO,2019-06-09,10.973268698060942,0.965520134228188,50.31517908430641,2.6375342465753424,19.240331491712706,7.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-10,10.425972222222224,0.0764176417641764,44.96155317470638,1.5276243093922652,19.329834254143645,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-11,12.819166666666666,0.0733213965980304,39.5730320942135,4.117906336088154,21.49750692520776,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-12,13.582960893854748,0.1295514511873351,48.35709833163412,5.004696132596685,22.12506963788301,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-13,14.863472222222224,0.114455626715462,46.19762477661864,6.309366391184573,23.378670360110807,1.0,0.0,26.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
CO,2019-06-14,15.731077348066297,0.5254625550660793,46.07670733985642,7.213387978142077,24.1914364640884,3.0,0.0,35.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-15,14.270926966292134,0.8837455830388692,52.79254864159709,5.936312849162011,22.59579831932773,2.0,0.0,36.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
CO,2019-06-16,14.03693820224719,2.2086661002548853,57.67758731115197,6.167222222222222,21.85955056179776,2.0,0.0,41.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
